C001 | Data Structures | 3 | 0214342456 | 50 | 3000000 | 25/04/2026 | 25/09/2026
C002 | Algorithms | 3 | 0214342456 | 50 | 3000000 | 25/04/2026 | 25/09/2026
C003 | Cong Nghe Phan Mem | 4 | 0267891234 | 40 | 6000000 | 05/05/2026 | 10/09/2026
C004 | Data Analist | 3 | 0256789123 | 30 | 1000000 | 07/07/2026 | 24/12/2026
C005 | Luat Kinh Te | 3 | 0267894574 | 30 | 1000000 | 30/04/2026 | 28/09/2026
C006 | Database Systems | 3 | 0234758957 | 45 | 3000000 | 15/01/2026 | 15/05/2026
C007 | Web Programming | 3 | 0278912345 | 40 | 3000000 | 10/02/2026 | 10/06/2026
C008 | Computer Networks | 4 | 0244556677 | 50 | 3000000 | 20/03/2026 | 20/07/2026
C009 | Object Oriented Programming | 4 | 0267891234 | 50 | 2000000 | 05/04/2026 | 05/09/2026
C010 | Cyber Security | 4 | 0214342456 | 45 | 2500000 | 18/06/2026 | 18/10/2026
C011 | Supply Chain Management | 3 | 0245879035 | 50 | 3600000 | 01/07/2026 | 01/11/2026
C012 | Logistics Management | 4 | 0255667788 | 45 | 3000000 | 12/08/2026 | 12/12/2026
C013 | Warehouse Management | 2 | 0289123456 | 35 | 2000000 | 25/09/2026 | 25/01/2027
C014 | Transportation Management | 3 | 0256789123 | 40 | 3000000 | 10/10/2026 | 10/02/2027
C015 | International Logistics | 3 | 0245879035 | 45 | 3000000 | 05/11/2026 | 05/03/2027
C016 | Triet Hoc Mac Lenin | 2 | 0233445566 | 60 | 2000000 | 15/12/2025 | 15/04/2026
C017 | Kinh Te Chinh Tri | 2 | 0267894574 | 60 | 2000000 | 20/01/2026 | 20/05/2026
C018 | Phap Luat Dai Cuong | 2 | 0266778899 | 55 | 2000000 | 10/03/2026 | 10/07/2026
C019 | Xac Suat Thong Ke | 3 | 0233445566 | 50 | 3000000 | 22/05/2026 | 22/09/2026
C020 | Toan Cao Cap | 3 | 0267894574 | 50 | 3000000 | 30/07/2026 | 30/11/2026
